urn_p1,urn_p2,urn_p3,name,NOTA
br,ba,catu,Catu,
br,ba,caturama,Caturama,
br,ba,central,Central,
br,ba,chorrocho,Chorrochó,
br,ba,cicero.dantas,Cícero Dantas,
br,ba,cipo,Cipó,
br,ba,coaraci,Coaraci,
br,ba,cocos,Cocos,
br,ba,conceicao.almeida,Conceição do Almeida,
br,ba,conceicao.coite,Conceição do Coité,
br,ba,conceicao.feira,Conceição da Feira,
br,ba,conceicao.jacuipe,Conceição do Jacuípe,
br,ba,conde,Conde,
br,ba,condeuba,Condeúba,
br,ba,contendas.sincora,Contendas do Sincorá,
br,ba,coracao.maria,Coração de Maria,
br,ba,cordeiros,Cordeiros,
br,ba,coribe,Coribe,
br,ba,coronel.joao.sa,Coronel João Sá,
br,ba,correntina,Correntina,
br,ba,cotegipe,Cotegipe,
br,ba,cravolandia,Cravolândia,
br,ba,crisopolis,Crisópolis,
br,ba,cristopolis,Cristópolis,
br,ba,cruz.almas,Cruz das Almas,
br,ba,curaca,Curaçá,
br,ba,dario.meira,Dário Meira,
br,ba,dias.d.avila,Dias d'Ávila,
br,ba,dom.basilio,Dom Basílio,
br,ba,dom.macedo.costa,Dom Macedo Costa,
br,ba,elisio.medrado,Elísio Medrado,
br,ba,encruzilhada,Encruzilhada,
br,ba,entre.rios,Entre Rios,
br,ba,erico.cardoso,Érico Cardoso,
br,ba,esplanada,Esplanada,
br,ba,euclides.cunha,Euclides da Cunha,
br,ba,eunapolis,Eunápolis,
br,ba,fatima,Fátima,
br,ba,feira.mata,Feira da Mata,
br,ba,feira.santana,Feira de Santana,
br,ba,filadelfia,Filadélfia,
br,ba,firmino.alves,Firmino Alves,
br,ba,floresta.azul,Floresta Azul,
br,ba,formosa.rio.preto,Formosa do Rio Preto,
br,ba,gandu,Gandu,
br,ba,gaviao,Gavião,
br,ba,gentio.ouro,Gentio do Ouro,
br,ba,gloria,Glória,
br,ba,gongogi,Gongogi,
br,ba,governador.mangabeira,Governador Mangabeira,
br,ba,guajeru,Guajeru,
br,ba,guanambi,Guanambi,
br,ba,guaratinga,Guaratinga,
br,ba,heliopolis,Heliópolis,
br,ba,iacu,Iaçu,
br,ba,ibiassuce,Ibiassucê,
br,ba,ibicarai,Ibicaraí,
br,ba,ibicoara,Ibicoara,
br,ba,ibicui,Ibicuí,
br,ba,ibipeba,Ibipeba,
br,ba,ibipitanga,Ibipitanga,
br,ba,ibiquera,Ibiquera,
br,ba,ibirapitanga,Ibirapitanga,
br,ba,ibirapua,Ibirapuã,
br,ba,ibirataia,Ibirataia,
br,ba,ibitiara,Ibitiara,
br,ba,ibitita,Ibititá,
br,ba,ibotirama,Ibotirama,
br,ba,ichu,Ichu,
br,ba,igapora,Igaporã,
br,ba,igrapiuna,Igrapiúna,
br,ba,iguai,Iguaí,
br,ba,ilheus,Ilhéus,
br,ba,inhambupe,Inhambupe,
br,ba,ipecaeta,Ipecaetá,
br,ba,ipiau,Ipiaú,
br,ba,ipira,Ipirá,
br,ba,ipupiara,Ipupiara,
br,ba,irajuba,Irajuba,
br,ba,iramaia,Iramaia,
br,ba,iraquara,Iraquara,
br,ba,irara,Irará,
br,ba,irece,Irecê,
br,ba,itabela,Itabela,
br,ba,itaberaba,Itaberaba,
br,ba,itabuna,Itabuna,
br,ba,itacare,Itacaré,
br,ba,itaete,Itaeté,
br,ba,itagi,Itagi,
br,ba,itagiba,Itagibá,
br,ba,itagimirim,Itagimirim,
br,ba,itaguacu.bahia,Itaguaçu da Bahia,
br,ba,itaju.colonia,Itaju do Colônia,
br,ba,itajuipe,Itajuípe,
br,ba,itamaraju,Itamaraju,
br,ba,itamari,Itamari,
br,ba,itambe,Itambé,
br,ba,itanagra,Itanagra,
br,ba,itanhem,Itanhém,
br,ba,itaparica,Itaparica,
br,ba,itape,Itapé,
br,ba,itapebi,Itapebi,
br,ba,itapetinga,Itapetinga,
br,ba,itapicuru,Itapicuru,
br,ba,itapitanga,Itapitanga,
br,ba,itaquara,Itaquara,
br,ba,itarantim,Itarantim,
br,ba,itatim,Itatim,
br,ba,itirucu,Itiruçu,
br,ba,itiuba,Itiúba,
br,ba,itororo,Itororó,
br,ba,ituacu,Ituaçu,
br,ba,itubera,Ituberá,
br,ba,iuiu,Iuiú,
br,ba,jaborandi,Jaborandi,
br,ba,jacaraci,Jacaraci,
br,ba,jacobina,Jacobina,
br,ba,jaguaquara,Jaguaquara,
br,ba,jaguarari,Jaguarari,
br,ba,jaguaripe,Jaguaripe,
br,ba,jandaira,Jandaíra,
br,ba,jequie,Jequié,
br,ba,jeremoabo,Jeremoabo,
br,ba,jiquirica,Jiquiriçá,
br,ba,jitauna,Jitaúna,
br,ba,joao.dourado,João Dourado,
br,ba,juazeiro,Juazeiro,
br,ba,jucurucu,Jucuruçu,
br,ba,jussara,Jussara,
br,ba,jussari,Jussari,
br,ba,jussiape,Jussiape,
br,ba,lafaiete.coutinho,Lafaiete Coutinho,
br,ba,lagoa.real,Lagoa Real,
br,ba,laje,Laje,
br,ba,lajedao,Lajedão,
br,ba,lajedinho,Lajedinho,
br,ba,lajedo.tabocal,Lajedo do Tabocal,
br,ba,lamarao,Lamarão,
br,ba,lapao,Lapão,
br,ba,lauro.freitas,Lauro de Freitas,
br,ba,lencois,Lençóis,
br,ba,licinio.almeida,Licínio de Almeida,
br,ba,livramento.nossa.senhora,Livramento de Nossa Senhora,
br,ba,luis.eduardo.magalhaes,Luís Eduardo Magalhães,
br,ba,macajuba,Macajuba,
br,ba,macarani,Macarani,
br,ba,macaubas,Macaúbas,
br,ba,macurure,Macururé,
br,ba,madre.deus,Madre de Deus,
br,ba,maetinga,Maetinga,
br,ba,maiquinique,Maiquinique,
br,ba,mairi,Mairi,
br,ba,malhada,Malhada,
br,ba,malhada.pedras,Malhada de Pedras,
br,ba,manoel.vitorino,Manoel Vitorino,
br,ba,mansidao,Mansidão,
br,ba,maracas,Maracás,
br,ba,maragogipe,Maragogipe,
br,ba,marau,Maraú,
br,ba,marcionilio.souza,Marcionílio Souza,
br,ba,mascote,Mascote,
br,ba,mata.sao.joao,Mata de São João,
br,ba,matina,Matina,
br,ba,medeiros.neto,Medeiros Neto,
br,ba,miguel.calmon,Miguel Calmon,
br,ba,milagres,Milagres,
br,ba,mirangaba,Mirangaba,
br,ba,mirante,Mirante,
br,ba,monte.santo,Monte Santo,
br,ba,morpara,Morpará,
br,ba,morro.chapeu,Morro do Chapéu,
br,ba,mortugaba,Mortugaba,
br,ba,mucuge,Mucugê,
br,ba,mucuri,Mucuri,
br,ba,mulungu.morro,Mulungu do Morro,
br,ba,mundo.novo,Mundo Novo,
br,ba,muniz.ferreira,Muniz Ferreira,
br,ba,muquem.sao.francisco,Muquém de São Francisco,
br,ba,muritiba,Muritiba,
br,ba,mutuipe,Mutuípe,
br,ba,nazare,Nazaré,
br,ba,nilo.pecanha,Nilo Peçanha,
br,ba,nordestina,Nordestina,
br,ba,nova.canaa,Nova Canaã,
br,ba,nova.fatima,Nova Fátima,
br,ba,nova.ibia,Nova Ibiá,
br,ba,nova.itarana,Nova Itarana,
br,ba,nova.redencao,Nova Redenção,
br,ba,nova.soure,Nova Soure,
br,ba,nova.vicosa,Nova Viçosa,
br,ba,novo.horizonte,Novo Horizonte,
br,ba,novo.triunfo,Novo Triunfo,
br,ba,olindina,Olindina,
br,ba,oliveira.brejinhos,Oliveira dos Brejinhos,
br,ba,ouricangas,Ouriçangas,
br,ba,ourolandia,Ourolândia,
br,ba,palmas.monte.alto,Palmas de Monte Alto,
br,ba,palmeiras,Palmeiras,
br,ba,paramirim,Paramirim,
br,ba,paratinga,Paratinga,
br,ba,paripiranga,Paripiranga,
br,ba,pau.brasil,Pau Brasil,
br,ba,paulo.afonso,Paulo Afonso,
br,ba,pe.serra,Pé de Serra,
br,ba,pedrao,Pedrão,
br,ba,pedro.alexandre,Pedro Alexandre,
br,ba,piata,Piatã,
br,ba,pilao.arcado,Pilão Arcado,
br,ba,pindai,Pindaí,
br,ba,pindobacu,Pindobaçu,
br,ba,pintadas,Pintadas,
br,ba,pirai.norte,Piraí do Norte,
br,ba,piripa,Piripá,
br,ba,piritiba,Piritiba,
br,ba,planaltino,Planaltino,
br,ba,planalto,Planalto,
br,ba,pocoes,Poções,
br,ba,pojuca,Pojuca,
br,ba,ponto.novo,Ponto Novo,
br,ba,porto.seguro,Porto Seguro,
br,ba,potiragua,Potiraguá,
br,ba,prado,Prado,
br,ba,presidente.dutra,Presidente Dutra,
br,ba,presidente.janio.quadros,Presidente Jânio Quadros,
br,ba,presidente.tancredo.neves,Presidente Tancredo Neves,
br,ba,queimadas,Queimadas,
br,ba,quijingue,Quijingue,
br,ba,quixabeira,Quixabeira,
br,ba,rafael.jambeiro,Rafael Jambeiro,
br,ba,remanso,Remanso,
br,ba,retirolandia,Retirolândia,
br,ba,riachao.jacuipe,Riachão do Jacuípe,
br,ba,riachao.neves,Riachão das Neves,
br,ba,riacho.santana,Riacho de Santana,
br,ba,ribeira.amparo,Ribeira do Amparo,
br,ba,ribeira.pombal,Ribeira do Pombal,
br,ba,ribeirao.largo,Ribeirão do Largo,
br,ba,rio.antonio,Rio do Antônio,
br,ba,rio.contas,Rio de Contas,
br,ba,rio.pires,Rio do Pires,
br,ba,rio.real,Rio Real,
br,ba,rodelas,Rodelas,
br,ba,ruy.barbosa,Ruy Barbosa,
br,ba,salinas.margarida,Salinas da Margarida,
br,ba,salvador,Salvador,
br,ba,santa.barbara,Santa Bárbara,
br,ba,santa.brigida,Santa Brígida,
br,ba,santa.cruz.cabralia,Santa Cruz Cabrália,
br,ba,santa.cruz.vitoria,Santa Cruz da Vitória,
br,ba,santa.ines,Santa Inês,
br,ba,santa.luzia,Santa Luzia,
br,ba,santa.maria.vitoria,Santa Maria da Vitória,
br,ba,santa.rita.cassia,Santa Rita de Cássia,
br,ba,santa.teresinha,Santa Teresinha,
br,ba,santaluz,Santaluz,
br,ba,santana,Santana,
br,ba,santanopolis,Santanópolis,
br,ba,santo.amaro,Santo Amaro,
br,ba,santo.antonio.jesus,Santo Antônio de Jesus,
br,ba,santo.estevao,Santo Estêvão,
br,ba,sao.desiderio,São Desidério,
br,ba,sao.domingos,São Domingos,
br,ba,sao.felipe,São Felipe,
br,ba,sao.felix,São Félix,
br,ba,sao.felix.coribe,São Félix do Coribe,
br,ba,sao.francisco.conde,São Francisco do Conde,
br,ba,sao.gabriel,São Gabriel,
br,ba,sao.goncalo.campos,São Gonçalo dos Campos,
br,ba,sao.jose.jacuipe,São José do Jacuípe,
br,ba,sao.jose.vitoria,São José da Vitória,
br,ba,sao.miguel.matas,São Miguel das Matas,
br,ba,sao.sebastiao.passe,São Sebastião do Passé,
br,ba,sapeacu,Sapeaçu,
br,ba,satiro.dias,Sátiro Dias,
br,ba,saubara,Saubara,
br,ba,saude,Saúde,
br,ba,seabra,Seabra,
br,ba,sebastiao.laranjeiras,Sebastião Laranjeiras,
br,ba,senhor.bonfim,Senhor do Bonfim,
br,ba,sento.se,Sento Sé,
br,ba,serra.dourada,Serra Dourada,
br,ba,serra.preta,Serra Preta,
br,ba,serra.ramalho,Serra do Ramalho,
br,ba,serrinha,Serrinha,
br,ba,serrolandia,Serrolândia,
br,ba,simoes.filho,Simões Filho,
br,ba,sitio.mato,Sítio do Mato,
br,ba,sitio.quinto,Sítio do Quinto,
br,ba,sobradinho,Sobradinho,
br,ba,souto.soares,Souto Soares,
br,ba,tabocas.brejo.velho,Tabocas do Brejo Velho,
br,ba,tanhacu,Tanhaçu,
br,ba,tanque.novo,Tanque Novo,
br,ba,tanquinho,Tanquinho,
br,ba,taperoa,Taperoá,
br,ba,tapiramuta,Tapiramutá,
br,ba,teixeira.freitas,Teixeira de Freitas,
br,ba,teodoro.sampaio,Teodoro Sampaio,
br,ba,teofilandia,Teofilândia,
br,ba,teolandia,Teolândia,
br,ba,terra.nova,Terra Nova,
br,ba,tremedal,Tremedal,
br,ba,tucano,Tucano,
br,ba,uaua,Uauá,
br,ba,ubaira,Ubaíra,
br,ba,ubaitaba,Ubaitaba,
br,ba,ubata,Ubatã,
br,ba,uibai,Uibaí,
br,ba,umburanas,Umburanas,
br,ba,una,Una,
br,ba,urandi,Urandi,
br,ba,urucuca,Uruçuca,
br,ba,utinga,Utinga,
br,ba,valenca,Valença,
br,ba,valente,Valente,
br,ba,varzea.nova,Várzea Nova,
br,ba,varzea.poco,Várzea do Poço,
br,ba,varzea.roca,Várzea da Roça,
br,ba,varzedo,Varzedo,
br,ba,vera.cruz,Vera Cruz,
br,ba,vereda,Vereda,
br,ba,vitoria.conquista,Vitória da Conquista,
br,ba,wagner,Wagner,
br,ba,wanderley,Wanderley,
br,ba,wenceslau.guimaraes,Wenceslau Guimarães,
br,ba,xique.xique,Xique-Xique,
br,ce,abaiara,Abaiara,
br,ce,acarape,Acarape,
br,ce,acarau,Acaraú,
br,ce,acopiara,Acopiara,
br,ce,aiuaba,Aiuaba,
br,ce,alcantaras,Alcântaras,
br,ce,altaneira,Altaneira,
br,ce,alto.santo,Alto Santo,
br,ce,amontada,Amontada,
br,ce,antonina.norte,Antonina do Norte,
br,ce,apuiares,Apuiarés,
br,ce,aquiraz,Aquiraz,
br,ce,aracati,Aracati,
br,ce,aracoiaba,Aracoiaba,
br,ce,ararenda,Ararendá,
br,ce,araripe,Araripe,
br,ce,aratuba,Aratuba,
br,ce,arneiroz,Arneiroz,
br,ce,assare,Assaré,
br,ce,aurora,Aurora,
br,ce,baixio,Baixio,
br,ce,banabuiu,Banabuiú,
br,ce,barbalha,Barbalha,
br,ce,barreira,Barreira,
br,ce,barro,Barro,
br,ce,barroquinha,Barroquinha,
br,ce,baturite,Baturité,
br,ce,beberibe,Beberibe,
br,ce,bela.cruz,Bela Cruz,
br,ce,boa.viagem,Boa Viagem,
br,ce,brejo.santo,Brejo Santo,
br,ce,camocim,Camocim,
br,ce,campos.sales,Campos Sales,
br,ce,caninde,Canindé,
br,ce,capistrano,Capistrano,
br,ce,caridade,Caridade,
br,ce,carire,Cariré,
br,ce,caririacu,Caririaçu,
br,ce,carius,Cariús,
br,ce,carnaubal,Carnaubal,
br,ce,cascavel,Cascavel,
br,ce,catarina,Catarina,
br,ce,catunda,Catunda,
br,ce,caucaia,Caucaia,
br,ce,cedro,Cedro,
br,ce,chaval,Chaval,
br,ce,choro,Choró,
br,ce,chorozinho,Chorozinho,
br,ce,coreau,Coreaú,
br,ce,crateus,Crateús,
br,ce,crato,Crato,
br,ce,croata,Croatá,
br,ce,cruz,Cruz,
br,ce,deputado.irapuan.pinheiro,Deputado Irapuan Pinheiro,
br,ce,erere,Ererê,
br,ce,eusebio,Eusébio,
br,ce,farias.brito,Farias Brito,
br,ce,forquilha,Forquilha,
br,ce,fortaleza,Fortaleza,
br,ce,fortim,Fortim,
br,ce,frecheirinha,Frecheirinha,
br,ce,general.sampaio,General Sampaio,
br,ce,graca,Graça,
br,ce,granja,Granja,
br,ce,granjeiro,Granjeiro,
br,ce,groairas,Groaíras,
br,ce,guaiuba,Guaiúba,
br,ce,guaraciaba.norte,Guaraciaba do Norte,
br,ce,guaramiranga,Guaramiranga,
br,ce,hidrolandia,Hidrolândia,
br,ce,horizonte,Horizonte,
br,ce,ibaretama,Ibaretama,
br,ce,ibiapina,Ibiapina,
br,ce,ibicuitinga,Ibicuitinga,
br,ce,icapui,Icapuí,
br,ce,ico,Icó,
br,ce,iguatu,Iguatu,
br,ce,independencia,Independência,
br,ce,ipaporanga,Ipaporanga,
br,ce,ipaumirim,Ipaumirim,
br,ce,ipu,Ipu,
br,ce,ipueiras,Ipueiras,
br,ce,iracema,Iracema,
br,ce,iraucuba,Irauçuba,
br,ce,itaicaba,Itaiçaba,
br,ce,itaitinga,Itaitinga,
br,ce,itapaje,Itapajé,
br,ce,itapipoca,Itapipoca,
br,ce,itapiuna,Itapiúna,
br,ce,itarema,Itarema,
br,ce,itatira,Itatira,
br,ce,jaguaretama,Jaguaretama,
br,ce,jaguaribara,Jaguaribara,
br,ce,jaguaribe,Jaguaribe,
br,ce,jaguaruana,Jaguaruana,
br,ce,jardim,Jardim,
br,ce,jati,Jati,
br,ce,jijoca.jericoacoara,Jijoca de Jericoacoara,
br,ce,juazeiro.norte,Juazeiro do Norte,
br,ce,jucas,Jucás,
br,ce,lavras.mangabeira,Lavras da Mangabeira,
br,ce,limoeiro.norte,Limoeiro do Norte,
br,ce,madalena,Madalena,
br,ce,maracanau,Maracanaú,
br,ce,maranguape,Maranguape,
br,ce,marco,Marco,
br,ce,martinopole,Martinópole,
br,ce,massape,Massapê,
br,ce,mauriti,Mauriti,
br,ce,meruoca,Meruoca,
br,ce,milagres,Milagres,
